nba_id,player,pos2,primary_pos,active,height_wo_shoes_in,wingspan_in,height_wingspan_diff_in,team,d_dpm
203994,Jusuf Nurkic,C,C,true,83.5,86,2.5,UTA,1.5
1628443,Kadeem Allen,PG,PG,false,73,81.25,8.25,,
1630232,Kahlil Whitney,UNK,UNK,false,77.5,84.25,6.75,,
1630539,Kai Jones,C,C,true,82,85.75,3.75,DAL,0.15
1629700,Kaleb Wesson,UNK,UNK,false,81.25,87.5,6.25,,
1642880,Kam Jones,SG,SG,true,75.25,78,2.75,IND,-1.07
1642873,Kam Williams,C,C,true,78.75,84,5.25,BOS,-0.29
2416,Kareem Rush,SG,SG,false,76.75,81.75,5,,
1630211,Karim Mane,PG,PG,false,77,83,6,,
12025,Karim Shabazz,UNK,UNK,false,83.5,87,3.5,,
1626157,Karl-Anthony Towns,C,C,true,83,87.5,4.5,NYK,0.53
1631255,Karlo Matković,PF,PF,true,81.75,84,2.25,NOP,0.55
1642857,Kasparas Jakucionis,SG,SG,true,76.75,79.75,3,MIA,0.16
202695,Kawhi Leonard,SF,SF,true,78,87,9,LAC,1.32
1627770,Kay Felder,PG,PG,false,68.25,74.5,6.25,,
1630811,Keaton Wallace,PG,PG,true,73.75,79,5.25,ATL,-0.23
1631099,Keegan Murray,PF,PF,true,79.5,84,4.5,SAC,0.33
1629037,Keenan Evans,SG,SG,false,73.5,77.25,3.75,,
1626208,Keifer Sykes,PG,PG,false,70.5,74,3.5,,
12054,Kei Madison,UNK,UNK,false,79.75,84.5,4.75,,
1628966,Keita Bates-Diop,SF,SF,false,79.25,87.25,8,,
202728,Keith Benson,C,C,false,82,87.75,5.75,,
2586,Keith Bogans,SG,SG,false,76.25,81.25,5,,
201812,Keith Brumbaugh,UNK,UNK,false,79.5,79.25,-0.25,,
12316,Keith Gallon,UNK,UNK,false,80.5,88.5,8,,
101247,Keith Langford,SG,SG,false,74.25,81,6.75,,
1629640,Keldon Johnson,SF,SF,true,76.75,81.25,4.5,SAS,-0.61
1642276,Kel'el Ware,C,C,true,83.75,88.5,4.75,MIA,-0.39
203482,Kelly Olynyk,C,C,true,82.75,81.75,-1,SAS,0.89
1626162,Kelly Oubre,SG,SG,true,77.75,86.25,8.5,PHI,-0.28
12009,Kelvin Pena,UNK,UNK,false,74.25,78.5,4.25,,
202689,Kemba Walker,PG,PG,false,71.5,75.5,4,,
1631112,Kendall Brown,SG,SG,false,78.25,83,4.75,,
203088,Kendall Marshall,PG,PG,false,75.25,77.5,2.25,,
203899,Kendall Williams,UNK,UNK,false,74.25,77.5,3.25,,
2256,Ken Johnson,C,C,false,82.75,88,5.25,,
1631113,Kennedy Chandler,PG,PG,false,71.5,77.25,5.75,,
1628452,Kennedy Meeks,UNK,UNK,false,80.75,85,4.25,,
202702,Kenneth Faried,C,C,false,78,84,6,,
1631254,Kenneth Lofton Jr.,PF,PF,false,78,85,7,,
12123,Kenny Adeleke,UNK,UNK,false,78.5,82.25,3.75,,
12152,Kenny Gregory,UNK,UNK,false,75.5,83.25,7.75,,
203483,Kenny Kadji,UNK,UNK,false,80.75,87,6.25,,
12167,Kenny Satterfield,UNK,UNK,false,73,76.5,3.5,,
1629026,Kenrich Williams,SG,SG,true,78,79.25,1.25,OKC,1.57
203484,Kentavious Caldwell-Pope,SG,SG,true,76.5,80,3.5,MEM,0.14
201863,Kentrell Gransberry,UNK,UNK,false,78.75,82.25,3.5,,
12143,Kenyon Jones,UNK,UNK,false,81,85,4,,
1630231,Kenyon Martin Jr.,SF,SF,true,78,79.25,1.25,UTA,-0.81
1631165,Keon Ellis,SG,SG,true,75.5,80.5,5,CLE,1.03
1630553,Keon Johnson,SG,SG,true,75.5,79.25,3.75,BKN,-0.32
1642352,Keshad Johnson,PF,PF,true,78.25,82.25,4,MIA,-0.44
1630556,Kessler Edwards,SF,SF,true,79,83.25,4.25,DAL,0.13
201142,Kevin Durant,SF,SF,true,81,88.75,7.75,HOU,0.02
1628987,Kevin Hervey,PF,PF,false,78.5,87.5,9,,
1628989,Kevin Huerter,SG,SG,true,78.25,79.5,1.25,CHI,-0.16
203158,Kevin Jones,PF,PF,false,78.25,85.5,7.25,,
1628995,Kevin Knox,SF,SF,true,79.75,83.75,4,GSW,-0.78
201567,Kevin Love,PF,PF,true,79.75,83.25,3.5,UTA,-0.87
2677,Kevin Lyde,UNK,UNK,false,80.75,86,5.25,,
1641755,Kevin McCullar,SG,SG,true,77.25,81,3.75,NYK,-0.28
1631256,Kevin McCullar Jr.,SG,SG,false,77.25,81,3.75,,
203122,Kevin Murphy,SG,SG,false,77,78.75,1.75,,
200819,Kevin Pittsnogle,UNK,UNK,false,81.25,82.5,1.25,,
1629645,Kevin Porter Jr.,PG,PG,true,76,81,5,MIL,0.52
1626172,Kevon Looney,C,C,true,80,87.5,7.5,NOP,1.1
12127,Keydren Clark,UNK,UNK,false,69,74.5,5.5,,
1641749,Keyontae Johnson,SG,SG,false,76,84,8,,
1641718,Keyonte George,PG,PG,true,74.5,81.25,6.75,UTA,-2.4
1629644,Kezie Okpala,PF,PF,false,79.25,85.75,6.5,,
2064,Khalid El-Amin,PG,PG,false,69,73.5,4.5,,
1631215,Khalifa Diop,UNK,UNK,false,82.5,87,4.5,,
1642863,Khaman Maluach,C,C,true,84.75,90.75,6,PHX,0.89
203920,Khem Birch,C,C,false,79.5,85,5.5,,
203114,Khris Middleton,SF,SF,true,78.75,82.75,4,WAS,-0.41
1629017,Khyri Thomas,SG,SG,false,74.5,82.5,8,,
1629681,Killian Tillie,C,C,false,80.75,80,-0.75,,
2386,Kimani Ffriend,UNK,UNK,false,81.5,82.75,1.25,,
203119,Kim English,SG,SG,false,76.5,78.5,2,,
2213,Kirk Haston,SF,SF,false,80,84.25,4.25,,
2550,Kirk Hinrich,PG,PG,false,74.75,78,3.25,,
2632,Kirk Penney,SG,SG,false,77,77.25,0.25,,
2745,Kirk Snyder,"PF,SF","PF,SF",false,78,81,3,,
203909,K.J. McDaniels,SF,SF,false,76.5,83.25,6.75,,
1642354,KJ Simpson,PG,PG,true,72.25,76.5,4.25,CHA,-0.77
202691,Klay Thompson,SG,SG,true,77.75,81,3.25,DAL,-0.39
1641738,Kobe Brown,PF,PF,true,78.5,84.75,6.25,LAC,-0.46
1641723,Kobe Bufkin,PG,PG,true,76.25,79.75,3.5,LAL,-0.65
1642920,Kobe Sanders,PF,PF,true,79,80.25,1.25,LAC,-0.73
1628424,Kobi Simmons,PG,PG,false,75.25,78,2.75,,
1642886,Koby Brea,SG,SG,true,77.75,77.25,-0.5,PHX,-0.58
1630594,Kofi Cockburn,UNK,UNK,false,83,88.25,5.25,,
1642851,Kon Knueppel,SG,SG,true,77,78.25,1.25,CHA,-1.08
1628961,Kostas Antetokounmpo,PF,PF,false,81,86.25,5.25,,
1627739,Kris Dunn,SG,SG,true,75,81.5,6.5,LAC,1.26
2743,Kris Humphries,PF,PF,false,80.25,84.5,4.25,,
203126,Kris Joseph,SF,SF,false,78,83,5,,
12051,Kris Lang,UNK,UNK,false,81.25,83.75,2.5,,
1631200,Kris Murray,SF,SF,true,79.75,83.75,4,POR,1.44
204001,Kristaps Porzingis,C,C,true,86.5,90,3.5,ATL,0.8
1629025,Kris Wilkes,UNK,UNK,false,78.5,82.25,3.75,,
2198,Kwame Brown,C,C,false,82,85,3,,
1629065,Ky Bowman,PG,PG,false,73,79,6,,
203937,Kyle Anderson,PF,PF,true,79.5,86.75,7.25,UTA,1.12
1642271,Kyle Filipowski,C,C,true,82.75,82.5,-0.25,UTA,-0.23
1629657,Kyle Guy,SG,SG,false,72.75,76.5,3.75,,
12254,Kyle Hines,UNK,UNK,false,75.75,85.25,9.5,,
2594,Kyle Korver,SF,SF,false,78.25,81.5,3.25,,
1628398,Kyle Kuzma,SF,SF,true,80,84.25,4.25,MIL,-1.48
200768,Kyle Lowry,PG,PG,true,71.75,74,2.25,PHI,0.74
203124,Kyle O'Quinn,C,C,false,80.5,88.75,8.25,,
202713,Kyle Singler,SF,SF,false,79.5,82.1,2.6,,
12234,Kyle Visser,UNK,UNK,false,82,83,1,,
1627787,Kyle Wiltjer,PF,PF,false,80.75,84.25,3.5,,
202681,Kyrie Irving,PG,PG,true,73.75,76,2.25,DAL,-0.72
