game_id,shooter_id,shooter_name,nearest_defender_id,nearest_defender_name,made,p_base,p_full,lift_vs_baseline,lift_vs_full
0022500513,201144,Mike Conley,1630558,Davion Mitchell,0,0.468438,0.491639,-0.468438,-0.491639
0022500513,1629675,Naz Reid,1631107,Nikola Jovic,0,0.435820,0.373527,-0.435820,-0.373527
0022500513,203944,Julius Randle,1630558,Davion Mitchell,1,0.282444,0.335188,0.717556,0.664812
0022500513,1628978,Donte DiVincenzo,1641796,Pelle Larsson,1,0.434034,0.416188,0.565966,0.583812
0022500513,1628978,Donte DiVincenzo,1631107,Nikola Jovic,1,0.405320,0.305111,0.594680,0.694889
0022500513,1630538,Bones Hyland,1631107,Nikola Jovic,0,0.442220,0.375963,-0.442220,-0.375963
0022500513,1630538,Bones Hyland,1642276,Kel'el Ware,1,0.494549,0.647980,0.505451,0.352020
0022500513,1630538,Bones Hyland,1626181,Norman Powell,0,0.505027,0.482616,-0.505027,-0.482616
0022500513,1630183,Jaden McDaniels,1641796,Pelle Larsson,1,0.541399,0.639053,0.458601,0.360947
0022500513,1630183,Jaden McDaniels,1641796,Pelle Larsson,0,0.584854,0.669552,-0.584854,-0.669552
0022500553,1631096,Chet Holmgren,1628389,Bam Adebayo,0,0.459325,0.292924,-0.459325,-0.292924
0022500553,1628983,Shai Gilgeous-Alexander,1628389,Bam Adebayo,0,0.479627,0.461266,-0.479627,-0.461266
0022500553,1628983,Shai Gilgeous-Alexander,1641796,Pelle Larsson,0,0.491892,0.490145,-0.491892,-0.490145
0022500553,1631096,Chet Holmgren,203952,Andrew Wiggins,1,0.449278,0.371775,0.550722,0.628225
0022500553,1631096,Chet Holmgren,1629639,Tyler Herro,0,0.477101,0.423342,-0.477101,-0.423342
0022500553,1630198,Isaiah Joe,1630558,Davion Mitchell,0,0.559156,0.607528,-0.559156,-0.607528
0022500553,1631119,Jaylin Williams,1642276,Kel'el Ware,0,0.490573,0.467476,-0.490573,-0.467476
0022500553,1631119,Jaylin Williams,1630696,Dru Smith,1,0.537999,0.496206,0.462001,0.503794
0022500553,1642349,Ajay Mitchell,1642276,Kel'el Ware,0,0.409251,0.328790,-0.409251,-0.328790
0022500553,1630598,Aaron Wiggins,203952,Andrew Wiggins,0,0.509454,0.523101,-0.509454,-0.523101
0022500553,1631096,Chet Holmgren,1642276,Kel'el Ware,0,0.499397,0.407447,-0.499397,-0.407447
0022500553,1630598,Aaron Wiggins,1641796,Pelle Larsson,0,0.418333,0.425867,-0.418333,-0.425867
0022500553,1629652,Luguentz Dort,1631107,Nikola Jovic,0,0.430304,0.329126,-0.430304,-0.329126
0022500553,1641717,Cason Wallace,1631107,Nikola Jovic,0,0.529594,0.453604,-0.529594,-0.453604
0022500553,1631114,Jalen Williams,1641796,Pelle Larsson,0,0.386245,0.501554,-0.386245,-0.501554
0022500553,1628983,Shai Gilgeous-Alexander,203952,Andrew Wiggins,1,0.529934,0.507940,0.470066,0.492060
0022500553,1628983,Shai Gilgeous-Alexander,1631170,Jaime Jaquez Jr.,1,0.499986,0.501104,0.500014,0.498896
0022500553,1630198,Isaiah Joe,1642276,Kel'el Ware,1,0.511346,0.546412,0.488654,0.453588
0022500553,1630198,Isaiah Joe,203952,Andrew Wiggins,1,0.525780,0.680084,0.474220,0.319916
0022500553,1627936,Alex Caruso,1631170,Jaime Jaquez Jr.,1,0.373621,0.466144,0.626379,0.533856
0022500553,1642349,Ajay Mitchell,203952,Andrew Wiggins,0,0.464349,0.467748,-0.464349,-0.467748
0022500553,1628983,Shai Gilgeous-Alexander,203952,Andrew Wiggins,0,0.529182,0.567364,-0.529182,-0.567364
0022500553,1630598,Aaron Wiggins,1630558,Davion Mitchell,0,0.550753,0.606334,-0.550753,-0.606334
0022500553,1630598,Aaron Wiggins,1630558,Davion Mitchell,1,0.553032,0.512920,0.446968,0.487080
0022500553,1630598,Aaron Wiggins,203952,Andrew Wiggins,1,0.449368,0.391687,0.550632,0.608313
0022500553,1630598,Aaron Wiggins,1641796,Pelle Larsson,1,0.454177,0.523256,0.545823,0.476744
0022500553,1641717,Cason Wallace,1628389,Bam Adebayo,0,0.434108,0.309284,-0.434108,-0.309284
0022500553,1642382,Branden Carlson,1642276,Kel'el Ware,0,0.543089,0.662856,-0.543089,-0.662856
0022500564,1626220,Royce O'Neale,1629639,Tyler Herro,0,0.536698,0.421591,-0.536698,-0.421591
0022500564,1631221,Collin Gillespie,1630558,Davion Mitchell,1,0.559321,0.561472,0.440679,0.438528
0022500564,1626164,Devin Booker,1628389,Bam Adebayo,0,0.399198,0.275521,-0.399198,-0.275521
0022500564,1628415,Dillon Brooks,1631170,Jaime Jaquez Jr.,0,0.408496,0.380283,-0.408496,-0.380283
0022500564,1628415,Dillon Brooks,203952,Andrew Wiggins,0,0.495732,0.421098,-0.495732,-0.421098
0022500564,1628960,Grayson Allen,1631107,Nikola Jovic,1,0.443910,0.383291,0.556090,0.616709
0022500564,1628960,Grayson Allen,1626181,Norman Powell,1,0.474412,0.655473,0.525588,0.344527
0022500564,1628960,Grayson Allen,1641796,Pelle Larsson,0,0.417735,0.452387,-0.417735,-0.452387
0022500564,1628960,Grayson Allen,1631170,Jaime Jaquez Jr.,0,0.445920,0.508041,-0.445920,-0.508041
0022500564,1631221,Collin Gillespie,1630558,Davion Mitchell,0,0.545170,0.643880,-0.545170,-0.643880
0022500564,1628415,Dillon Brooks,203952,Andrew Wiggins,0,0.528050,0.488317,-0.528050,-0.488317
0022500564,1628415,Dillon Brooks,1630558,Davion Mitchell,1,0.509715,0.627326,0.490285,0.372674
0022500564,1626220,Royce O'Neale,1628389,Bam Adebayo,1,0.518369,0.408033,0.481631,0.591967
0022500564,1631221,Collin Gillespie,1630696,Dru Smith,0,0.506132,0.422186,-0.506132,-0.422186
0022500564,1626164,Devin Booker,203952,Andrew Wiggins,1,0.383189,0.325173,0.616811,0.674827
0022500564,1626164,Devin Booker,1628389,Bam Adebayo,0,0.328216,0.301410,-0.328216,-0.301410
0022500564,1626220,Royce O'Neale,203952,Andrew Wiggins,0,0.471761,0.428301,-0.471761,-0.428301
