unmatched_type,game_file,game_id,opponent,period,shooter_id,shooter_name,release_frame,release_game_clock,release_shot_clock,contest_distance_ft,shot_contest_quality,pbp_shot_result,pbp_conclusion_game_clock,pbp_description
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,1642263,Reed Sheppard,NA,NA,NA,NA,NA,Missed,0:57,MISS R. Sheppard 26' 3PT
pbp_only,nba_game_0022500864_processed.parquet,0022500864,Rockets,4,1631106,Tari Eason,NA,NA,NA,NA,NA,Missed,0:53,MISS T. Eason 25' 3PT
tracking_only,nba_game_0022500886_processed.parquet,0022500886,Nets,1,1642874,Danny Wolf,62747,3:03,17,5.041,32.36,NA,NA,NA
tracking_only,nba_game_0022500886_processed.parquet,0022500886,Nets,2,1630533,Ziaire Williams,103277,10:34,18,6.402,57.59,NA,NA,NA
tracking_only,nba_game_0022500886_processed.parquet,0022500886,Nets,2,1629008,Michael Porter Jr.,151361,6:18,14,3.395,68.12,NA,NA,NA
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,2,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,3:20,MISS M. Porter Jr. 24' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,2,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,2:17,MISS M. Porter Jr. 25' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,3,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,9:43,MISS M. Porter Jr. 24' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,3,1642849,Nolan Traore,NA,NA,NA,NA,NA,Missed,7:07,MISS N. Traore 24' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,3,1642874,Danny Wolf,NA,NA,NA,NA,NA,Missed,5:14,MISS D. Wolf 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,3,1642874,Danny Wolf,NA,NA,NA,NA,NA,Missed,4:00,MISS D. Wolf 26' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,3,1630533,Ziaire Williams,NA,NA,NA,NA,NA,Missed,0:01,MISS Z. Williams 25' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,4,1631169,Josh Minott,NA,NA,NA,NA,NA,Missed,9:56,MISS J. Minott 25' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,4,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,7:12,MISS M. Porter Jr. 24' 3PT
pbp_only,nba_game_0022500886_processed.parquet,0022500886,Nets,4,1630534,O. Agbaji,NA,NA,NA,NA,NA,Missed,2:38,MISS O. Agbaji 3PT
tracking_only,nba_game_0022500901_processed.parquet,0022500901,Nets,3,1629008,Michael Porter Jr.,218388,9:34,16,1.871,73.45,NA,NA,NA
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,3,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,10:30,MISS M. Porter Jr. 25' running pullup 3PT
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,4,1642849,Nolan Traore,NA,NA,NA,NA,NA,Missed,9:08,MISS N. Traore 27' 3PT
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,4,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,7:19,MISS M. Porter Jr. 24' pullup 3PT
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,4,1630533,Ziaire Williams,NA,NA,NA,NA,NA,Made,7:05,Z. Williams 3PT  (12 PTS) (N. Clowney 4 AST)
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,4,1641730,Noah Clowney,NA,NA,NA,NA,NA,Missed,2:48,MISS N. Clowney 28' 3PT
pbp_only,nba_game_0022500901_processed.parquet,0022500901,Nets,4,1629008,Michael Porter Jr.,NA,NA,NA,NA,NA,Missed,2:41,MISS M. Porter Jr. 3PT
