game_file,opponent,frame,period,game_clock,shot_clock,shooter_id,shooter_name,shooter_team,shooter_dist_to_rim_in,rim_x,rim_y,release_ball_x,release_ball_y,release_ball_z,min_ball_rim_3d_in,nearest_defender_id,nearest_defender_name,contest_distance_ft,closeout_speed_ft_s,closeout_delta_ft_500ms,contest_angle_deg,hand_up_in,shot_contest_quality
nba_game_0022500332_processed.parquet,Mavericks,224484,3,10:25,14,1642948,Ryan Nembhard,Mavericks,302.74,516.0,0.0,348.795,255.02,93.339,14.59,1628389,Bam Adebayo,2.548,5.47,2.735,118.12,41.01,61.59
nba_game_0022500332_processed.parquet,Mavericks,229595,3,9:18,7,203076,Anthony Davis,Mavericks,318.84,516.0,0.0,210.991,91.59,91.772,12.19,1628389,Bam Adebayo,9.441,6.389,3.195,174.14,44.6,40.92
nba_game_0022500332_processed.parquet,Mavericks,234434,3,7:57,19,1630230,Naji Marshall,Mavericks,274.72,516.0,0.0,501.621,-270.119,90.619,10.81,203952,Andrew Wiggins,5.892,8.416,4.208,147.52,34.34,59.38
nba_game_0022500332_processed.parquet,Mavericks,251637,3,6:33,4.1,202691,Klay Thompson,Mavericks,285.36,516.0,0.0,449.497,-274.928,91.331,13.4,1629639,Tyler Herro,5.95,8.46,4.23,143.16,30.58,59.18
nba_game_0022500332_processed.parquet,Mavericks,280956,3,2:46,8,1630314,Brandon Williams,Mavericks,319.23,516.0,0.0,207.168,-63.757,91.631,9.1,1630696,Dru Smith,8.775,12.976,6.488,173.74,37.8,49.29
nba_game_0022500332_processed.parquet,Mavericks,292753,3,1:02,3.0,1626156,D'Angelo Russell,Mavericks,350.65,516.0,0.0,169.683,-8.019,92.34,11.58,1631170,Jaime Jaquez Jr.,4.351,4.667,2.333,159.1,45.3,52.27
nba_game_0022500332_processed.parquet,Mavericks,294798,3,30.8,14,1626156,D'Angelo Russell,Mavericks,321.58,516.0,0.0,229.723,138.662,91.095,11.03,1631323,Simone Fontecchio,8.303,15.751,7.875,153.84,13.48,47.18
nba_game_0022500332_processed.parquet,Mavericks,297012,3,2.4,,202691,Klay Thompson,Mavericks,288.44,516.0,0.0,465.325,281.354,91.245,10.33,1631323,Simone Fontecchio,5.498,12.361,6.181,172.5,45.48,60.76
nba_game_0022500332_processed.parquet,Mavericks,308498,4,11:32,9,202691,Klay Thompson,Mavericks,275.1,516.0,0.0,533.837,-270.458,90.632,13.67,1629639,Tyler Herro,5.618,8.107,4.053,159.07,41.51,60.34
nba_game_0022500332_processed.parquet,Mavericks,313263,4,10:39,14,202691,Klay Thompson,Mavericks,291.65,516.0,0.0,452.458,-284.866,90.347,11.23,1629639,Tyler Herro,4.002,5.517,2.759,151.23,36.4,56.68
nba_game_0022500332_processed.parquet,Mavericks,315888,4,9:55,13,1626156,D'Angelo Russell,Mavericks,332.77,516.0,0.0,188.543,-1.247,91.142,7.38,1631170,Jaime Jaquez Jr.,6.221,9.021,4.511,156.12,47.11,58.23
nba_game_0022500332_processed.parquet,Mavericks,353594,4,6:18,7,1630230,Naji Marshall,Mavericks,278.56,516.0,0.0,504.442,-274.404,90.49,12.15,1631170,Jaime Jaquez Jr.,5.965,13.091,6.546,142.95,39.17,59.12
nba_game_0022500332_processed.parquet,Mavericks,406411,4,25.1,2.5,1642948,Ryan Nembhard,Mavericks,265.74,516.0,0.0,257.596,46.436,91.1,10.04,203952,Andrew Wiggins,6.103,4.16,2.08,157.75,42.8,44.24
nba_game_0022500513_processed.parquet,Timberwolves,954,1,11:49,15,1630162,Anthony Edwards,Timberwolves,349.53,516.0,0.0,271.929,250.371,91.401,11.13,1630558,Davion Mitchell,4.989,17.217,8.609,106.48,39.04,62.54
nba_game_0022500513_processed.parquet,Timberwolves,4368,1,11:08,13,1628978,Donte DiVincenzo,Timberwolves,280.3,516.0,0.0,519.447,268.278,91.2,11.91,203952,Andrew Wiggins,8.454,8.927,4.463,139.47,38.61,50.41
nba_game_0022500513_processed.parquet,Timberwolves,5225,1,10:53,21,1628978,Donte DiVincenzo,Timberwolves,373.09,516.0,0.0,213.95,203.993,92.639,12.15,203952,Andrew Wiggins,6.876,0.209,0.105,171.23,17.47,26.28
